job_aptitude_exam,same_industry,unexcused_absences,hs_gpa,good_behavior,high_school,enrolled_late,instructor,sensitive_01,sensitive_02,sensitive_03,sensitive_04,sensitive_05,sensitive_06,sensitive_07,sensitive_08,sensitive_09,sensitive_10,sensitive_11,sensitive_12,sensitive_13,sensitive_14,sensitive_15,sensitive_17,sensitive_18,sensitive_19,sensitive_20,sensitive_22,sensitive_23,sensitive_24,sensitive_25
106.0,0,0,3.597,0.0,292,0,inst_5,1.95,1.3,-0.43,0.42,1,0,0.24,-0.42,-0.34,0.0,-0.9,0.41,0.38,0.36685999999999996,1,1,0,1.15,0,0,-1.85,1,-0.86
96.0,0,2,2.675,1.0,385,0,inst_3,-1.01,0.39,-0.78,0.52,0,0,0.52,0.05,-1.06,,1.41,-0.04,1.54,3.1194999999999995,1,0,0,0.03,1,0,0.6,0,-0.69
96.0,0,1,2.915,0.0,176,0,inst_6,1.63,1.02,-0.23,0.0,1,1,-0.53,0.65,0.76,0.0,0.0,-0.56,0.92,1.6818,1,1,0,-0.67,0,0,-1.31,1,0.27
105.0,0,1,2.721,0.0,126,0,inst_5,0.37,1.24,0.16,-1.35,1,0,0.39,1.84,0.45,,1.58,-0.09,-0.79,-3.1495900000000003,1,1,1,1.37,0,1,0.52,1,-0.37
116.0,0,2,3.327,1.0,29,0,inst_4,-2.42,1.21,-2.54,2.59,1,1,0.73,-1.58,-0.47,0.0,0.4,0.66,1.27,3.22529,0,0,1,0.92,1,0,-0.19,0,-0.41
80.0,0,1,3.677,,379,0,inst_2,0.08,-1.41,1.1,-1.5,1,1,-2.14,-0.54,-1.66,0.0,-0.2,-0.33,-0.07,-1.25739,1,1,1,-0.72,1,0,-1.19,0,-0.66
87.0,0,1,2.721,0.0,291,0,,-0.14,-2.53,-0.39,0.08,1,0,-0.8,0.49,-0.0,1.0,-0.42,-0.06,0.27,-0.26532999999999995,1,0,0,-0.5,0,0,0.27,1,-0.08
69.0,0,0,3.185,1.0,43,0,inst_6,0.85,-1.01,-0.26,0.97,0,1,2.34,-0.08,-0.8,,-0.06,-0.31,-0.56,-2.7836000000000003,0,1,0,0.23,0,0,-0.51,0,1.25
95.0,0,3,3.0210000000000004,0.0,131,0,inst_6,0.54,0.56,-0.63,0.21,0,0,-0.75,-1.67,-1.26,0.0,1.38,0.12,0.52,0.5709200000000001,1,0,1,0.68,1,1,-0.54,0,0.16
119.0,0,0,3.3710000000000004,,174,0,inst_6,-0.24,-0.02,-0.62,-0.3,1,0,0.55,1.16,-0.85,,-0.34,1.26,-0.05,-1.16855,0,0,0,-1.26,1,1,-1.9,0,-0.12
105.0,0,0,2.92,0.0,414,0,inst_0,0.97,-0.74,0.64,0.16,1,1,1.16,-1.08,-1.47,,-1.16,-0.07,-0.47,-2.3724,1,0,1,0.67,1,0,-0.62,0,-0.45
98.0,0,0,3.295,1.0,216,0,inst_9,-0.6,-0.96,0.69,0.68,0,0,-1.83,0.42,0.33,1.0,0.07,1.57,0.79,1.60305,0,1,0,0.82,0,0,-0.96,0,-0.77
89.0,0,0,3.577,1.0,235,0,inst_9,0.79,0.27,-0.06,0.63,0,1,0.47,0.23,1.12,,-2.1,-0.58,0.06,-0.78538,0,0,0,-0.46,1,1,0.66,0,0.53
93.0,0,4,1.19,1.0,389,0,inst_3,0.28,-0.26,-0.48,-0.7,0,1,-1.47,0.51,-0.48,1.0,0.24,-0.09,-0.08,-1.0952,0,0,0,1.1,1,0,0.22,0,0.15
91.0,0,0,3.771,1.0,121,0,inst_7,-2.38,0.51,-0.91,-0.26,1,0,0.35,-0.62,-0.98,,0.41,1.64,2.24,7.447040000000001,1,0,0,0.18,1,0,0.32,0,0.03
101.0,0,0,3.73,1.0,404,0,inst_5,1.49,0.29,-0.8,0.42,0,1,-0.36,1.04,2.6,,-1.2,0.65,0.69,1.5736999999999997,1,1,1,-1.07,1,1,-0.64,1,0.32
113.0,0,3,3.307,0.0,77,0,inst_4,0.11,-0.37,-1.48,0.51,0,1,-1.17,-0.28,0.83,,0.5,0.41,-2.71,-9.961969999999999,1,1,0,0.4,0,1,1.44,0,-0.28
76.0,0,1,3.508,1.0,38,0,inst_4,0.79,1.8,-0.84,-0.0,1,1,-0.81,-0.73,-1.73,1.0,0.04,-0.52,-2.42,-9.48936,1,0,1,0.87,1,0,-0.24,1,0.54
102.0,0,0,3.489,0.0,152,0,,-0.03,-2.04,-1.56,-0.02,1,0,-0.62,-0.34,0.2,,0.93,0.32,0.85,1.96565,0,1,0,-1.97,0,1,-0.92,0,0.21
105.0,0,1,2.721,0.0,126,0,inst_5,0.37,1.24,0.16,-1.35,1,0,0.39,1.84,0.45,,1.58,-0.09,-0.79,-3.1495900000000003,1,1,1,1.37,0,1,0.52,1,-0.37
94.0,0,0,3.816,0.0,23,0,inst_5,-0.56,-0.63,0.47,0.87,0,1,0.41,-0.13,-1.17,,1.11,0.82,0.41,0.5645600000000001,1,0,0,-0.09,1,0,0.34,0,1.11
107.0,0,1,3.407,0.0,288,0,inst_5,-0.29,-2.06,1.46,1.58,1,1,1.14,2.51,-2.1,0.0,0.03,1.01,0.33,0.12431000000000016,1,0,1,-1.23,1,1,0.8,0,-0.88
117.0,0,1,2.596,0.0,50,0,inst_3,0.93,0.48,0.2,-0.62,1,0,0.55,0.27,-0.41,,0.84,1.02,1.35,2.5046000000000004,0,1,1,1.42,1,1,1.71,0,1.53
98.0,0,0,3.323,0.0,80,0,inst_3,0.59,-0.15,1.37,0.94,0,0,-0.25,1.19,0.86,,-0.22,0.62,-1.28,-5.25344,0,0,1,0.15,1,0,1.69,0,2.07
93.0,0,4,1.19,1.0,389,0,inst_3,0.28,-0.26,-0.48,-0.7,0,1,-1.47,0.51,-0.48,1.0,0.24,-0.09,-0.08,-1.0952,0,0,0,1.1,1,0,0.22,0,0.15
79.0,0,0,2.997,0.0,196,0,inst_4,-0.54,-0.05,-0.75,-3.01,0,1,0.78,0.45,-0.12,1.0,-1.25,0.87,0.65,0.94805,1,1,1,-0.46,1,0,0.66,1,-0.76
100.0,0,0,3.298,0.0,98,0,inst_6,-2.95,1.6,-0.57,-1.67,1,0,1.92,0.85,0.2,,0.44,-0.35,1.19,2.92462,1,0,0,1.12,1,0,-1.06,0,0.5
92.0,0,1,3.614,1.0,106,0,inst_5,-0.83,-1.23,-1.08,-1.15,1,0,-0.54,-0.92,-0.99,1.0,0.92,0.8,2.55,8.215699999999998,0,0,0,0.58,0,1,-1.27,0,0.0
97.0,0,0,3.783,1.0,20,0,inst_8,1.08,0.6,1.33,0.14,1,0,-0.94,0.72,-0.62,,0.54,0.72,0.41,0.5510299999999999,1,0,0,0.53,1,0,-0.22,0,-0.38
97.0,0,6,1.269,1.0,237,0,inst_4,-0.69,-0.27,-0.4,-0.16,0,1,-1.75,-0.73,-0.9,0.0,0.55,-0.04,-0.2,-1.2538,1,1,0,-0.51,0,0,-0.99,1,-0.66
114.0,0,1,3.482,0.0,147,0,inst_6,-0.13,0.22,0.44,0.27,1,0,-1.18,-0.06,-1.04,,-1.58,-1.37,-0.9,-4.133800000000001,0,1,0,-1.76,0,1,0.53,0,0.55
99.0,0,1,2.624,0.0,119,0,inst_6,-1.23,1.95,-0.71,0.16,0,1,-0.21,0.71,1.28,1.0,-1.46,-0.73,-1.07,-3.8076800000000004,1,1,0,1.53,1,1,0.53,1,0.9
91.0,1,3,1.013,0.0,214,0,inst_6,0.54,-0.74,1.45,0.47,0,1,1.81,1.92,-0.79,,-0.67,-1.58,-0.01,-1.01013,0,0,1,1.84,1,1,-1.52,0,-0.62
106.0,0,2,3.2310000000000003,1.0,275,0,inst_3,0.68,-0.25,-1.19,2.01,1,0,-2.2,-0.52,-1.84,,-1.07,-0.46,-0.14,-1.45234,0,1,0,0.68,0,0,0.79,1,-1.01
108.0,0,1,2.778,0.0,98,0,inst_2,-0.64,2.24,-1.46,0.13,0,1,1.81,0.86,0.99,1.0,-1.9,0.88,-2.2,-7.1116,0,0,1,0.26,0,1,1.49,0,-0.65
88.0,0,5,2.12,0.0,234,0,inst_2,-1.34,-0.85,0.86,-0.19,1,0,-0.65,-0.22,-0.34,,-0.19,2.1,-0.83,-2.7596,0,0,1,-0.72,0,1,-0.44,0,-1.1
85.0,0,2,3.015,0.0,255,0,inst_1,0.76,1.99,0.25,0.74,0,0,-1.17,-1.05,-2.12,,-1.44,1.85,0.0,-1.0,0,0,0,-1.39,0,0,0.36,0,1.49
100.0,0,1,3.006,0.0,144,1,inst_4,1.1,0.55,-0.6,-0.09,1,0,0.37,-0.62,1.1,,0.76,-0.27,1.54,3.6292400000000002,1,1,1,0.17,1,0,1.78,1,-1.56
68.0,0,4,2.569,,216,0,inst_4,1.1,0.98,0.76,-1.2,1,1,-0.25,-0.51,2.03,0.0,0.98,-0.35,-1.11,-3.8515900000000003,0,1,0,-0.97,1,1,0.68,1,1.36
77.0,0,1,1.503,0.0,123,0,inst_5,0.47,-0.47,0.14,-0.53,0,0,0.72,-1.57,0.29,,1.56,-0.11,0.78,0.17233999999999994,0,0,0,0.65,0,0,0.31,0,1.43
102.0,0,2,0.906,0.0,22,0,,0.57,0.17,-1.41,0.17,1,1,0.45,1.21,0.35,,1.03,1.65,-0.73,-1.6613799999999999,1,0,0,0.97,0,1,-0.18,1,-2.07
91.0,0,1,3.484,0.0,142,0,inst_6,0.09,-0.68,-1.7,0.04,1,1,-0.2,-1.43,-0.69,,1.45,-0.02,-0.88,-4.065919999999998,0,1,1,1.16,0,1,2.11,1,0.91
73.0,0,2,3.124,1.0,178,0,inst_4,1.2,0.86,-0.82,0.28,0,1,0.79,0.27,0.22,,1.32,0.61,-0.02,-1.06248,1,0,0,1.13,1,1,0.28,0,0.59
94.0,0,1,3.09,0.0,210,0,inst_2,-0.38,-0.2,0.11,-1.92,1,1,-1.13,0.85,-1.63,,0.47,-1.09,-1.69,-6.2220999999999975,0,1,0,0.84,0,0,-0.72,1,-0.85
93.0,0,0,3.542,1.0,194,0,inst_6,-1.12,0.84,-1.0,0.08,1,0,-0.27,0.58,0.23,,-1.85,0.27,0.48,0.7001599999999999,0,0,0,1.94,0,1,1.35,1,-0.55
90.0,0,1,3.214,0.0,49,0,inst_3,-0.05,0.47,-0.38,-1.26,0,1,-0.25,-0.97,-0.58,1.0,-1.03,-0.38,0.02,-0.93572,1,0,1,0.69,1,1,-0.81,0,2.19
100.0,0,1,3.563,1.0,344,0,inst_6,-1.05,-0.62,0.83,0.06,0,0,0.98,-0.01,-0.08,,0.19,-1.35,0.17,-0.3942899999999999,0,0,1,-0.4,1,0,-1.22,0,0.71
92.0,0,0,2.922,0.0,2,0,inst_3,-0.95,-1.0,0.11,0.14,1,0,-0.68,-0.24,-0.4,0.0,0.51,0.14,-2.73,-8.977060000000002,0,1,0,0.51,0,1,0.43,0,-1.27
84.0,0,0,3.457,1.0,87,0,inst_6,1.69,-1.01,1.18,-0.12,1,1,-0.32,0.62,-0.1,,-0.07,0.27,-0.83,-3.86931,0,1,1,0.47,0,0,1.49,0,2.3
88.0,0,0,2.628,0.0,390,0,inst_7,0.1,0.74,0.75,1.35,1,0,-2.08,0.37,-0.3,,0.76,0.45,-0.66,-2.7344800000000005,1,1,0,1.95,0,1,1.35,0,0.26
91.0,0,1,2.673,,97,0,,-0.45,0.69,-0.19,1.31,0,0,2.39,-0.98,-1.48,,0.63,-0.18,-1.02,-3.72646,1,1,1,0.02,0,1,-0.01,0,1.01
97.0,0,3,3.247,0.0,237,0,inst_5,0.77,-1.0,0.52,0.49,1,1,-0.24,0.91,-0.73,0.0,-1.29,0.52,-1.73,-6.617310000000002,1,0,0,-2.02,0,1,-1.08,1,-1.92
93.0,0,4,1.19,1.0,389,0,inst_3,0.28,-0.26,-0.48,-0.7,0,1,-1.47,0.51,-0.48,1.0,0.24,-0.09,-0.08,-1.0952,0,0,0,1.1,1,0,0.22,0,0.15
97.0,0,3,3.247,0.0,237,0,inst_5,0.77,-1.0,0.52,0.49,1,1,-0.24,0.91,-0.73,0.0,-1.29,0.52,-1.73,-6.617310000000002,1,0,0,-2.02,0,1,-1.08,1,-1.92
95.0,0,0,3.273,0.0,48,0,inst_2,-0.82,-0.03,-0.1,-0.4,0,0,0.93,-0.7,0.31,0.0,0.61,0.68,2.7,7.837100000000001,0,1,1,-1.5,1,1,1.13,0,0.83
97.0,0,2,,1.0,336,0,inst_4,0.67,-1.9,-0.68,-0.76,0,1,0.78,-1.19,-0.38,,-0.12,0.43,-1.9,-6.5138,1,1,1,3.17,0,1,-0.39,1,0.03
100.0,0,1,2.877,,189,0,inst_5,1.6,0.91,1.83,-1.47,0,0,-0.6,0.59,0.44,,0.63,-0.02,0.39,0.12202999999999985,1,0,1,2.05,1,1,-1.21,0,2.09
100.0,0,3,3.498,0.0,118,0,inst_4,-1.04,0.55,0.13,-0.04,0,0,-0.8,-0.09,1.0,,-0.85,1.36,-1.06,-4.70788,0,1,0,1.4,0,1,-2.63,0,0.9
95.0,0,2,2.86,0.0,331,0,inst_4,0.39,0.36,-0.14,-0.87,1,0,-0.49,-1.52,2.36,,1.21,-0.72,-0.78,-3.2308,1,1,0,-2.11,0,1,-0.01,0,0.59
104.0,0,1,3.169,,272,0,inst_5,1.24,0.9,0.02,0.01,0,0,-1.25,-0.93,1.5,,-0.57,0.62,-0.82,-3.59858,1,1,1,0.49,0,0,-2.34,0,-0.93
89.0,0,2,3.258,0.0,429,0,,-1.04,0.76,1.22,-0.51,0,0,0.74,0.64,-0.56,,-0.04,-0.78,1.19,2.87702,0,1,1,0.85,1,1,2.03,0,0.22
81.0,0,1,2.994,0.0,128,0,inst_3,1.02,0.57,0.75,-0.22,0,0,-0.85,-0.35,0.11,,-1.44,0.98,2.53,6.57482,1,1,0,-0.14,0,0,0.14,0,0.76
99.0,0,1,3.631,0.0,129,0,inst_3,0.32,0.74,0.62,0.07,0,0,0.84,-0.23,-0.81,,1.99,1.37,0.01,-0.96369,0,1,1,-0.11,1,0,0.3,1,0.92
84.0,0,2,3.698,0.0,415,0,inst_6,0.4,-1.85,0.21,-0.3,1,1,2.5,0.7,-1.31,,0.13,-1.18,0.21,-0.22342000000000006,1,1,1,-0.11,1,0,-0.09,1,1.83
103.0,0,0,2.9410000000000003,0.0,146,0,inst_4,-1.11,0.34,-0.83,1.53,1,0,1.49,-1.64,0.08,1.0,-0.59,-0.29,0.86,1.5292599999999998,1,0,0,1.45,0,1,0.67,0,0.31
91.0,0,0,3.324,,148,0,inst_2,1.38,-0.29,-0.03,0.94,1,0,0.05,-0.3,-0.26,,0.08,0.3,1.23,3.08852,0,1,1,-0.47,0,1,-1.77,0,-1.34
106.0,1,2,2.499,1.0,73,0,inst_2,-0.13,0.51,0.0,-0.6,1,0,0.83,0.18,1.48,,0.85,0.23,0.15,-0.62515,0,1,0,0.55,0,0,-0.37,0,-0.37
87.0,0,0,3.772,,92,0,inst_1,0.89,1.67,-2.03,0.85,0,1,-0.66,1.75,0.49,1.0,0.89,-0.64,0.19,-0.28332,0,0,1,-1.04,1,1,2.54,1,0.15
113.0,0,1,3.228,0.0,61,0,inst_4,0.97,-0.06,0.5,1.6,0,0,0.23,-0.21,-0.08,,-1.22,-0.78,0.32,0.0329600000000001,1,1,0,0.55,1,1,0.5,1,0.14
93.0,0,0,3.641,,188,0,inst_7,1.68,1.28,-0.78,-0.51,0,1,0.06,-1.0,1.45,,-1.37,0.84,-0.98,-4.56818,0,0,1,-0.98,1,0,0.67,1,2.17
73.0,0,1,3.835,0.0,187,0,inst_9,-0.29,-2.42,-0.3,-0.56,1,1,-1.43,-0.22,-1.01,1.0,0.59,0.24,-0.68,-3.6078,0,1,1,0.98,0,0,0.03,0,1.71
74.0,0,3,3.187,,149,0,inst_3,1.56,0.8,-0.4,0.23,0,0,-0.48,0.44,-0.72,1.0,-0.86,-0.77,-2.67,-9.50929,1,1,0,0.1,1,0,-0.1,1,-0.82
113.0,0,1,3.228,0.0,61,0,inst_4,0.97,-0.06,0.5,1.6,0,0,0.23,-0.21,-0.08,,-1.22,-0.78,0.32,0.0329600000000001,1,1,0,0.55,1,1,0.5,1,0.14
78.0,0,2,2.315,0.0,261,0,inst_2,1.55,0.8,-1.47,1.26,0,1,-0.12,0.0,0.48,1.0,-0.48,-0.11,-0.57,-2.31955,0,1,1,1.27,0,0,2.0,1,-1.21
105.0,0,1,3.5860000000000003,1.0,211,0,inst_6,0.57,1.04,-1.27,-1.69,1,0,-1.58,-0.6,-0.04,,0.64,0.5,-0.4,-2.4344,1,0,0,1.44,0,0,0.24,1,0.01
86.0,0,1,2.8710000000000004,0.0,178,0,inst_2,1.26,0.39,1.56,-0.01,0,1,-0.34,-0.92,-1.36,1.0,0.0,0.9,0.42,0.2058199999999999,0,1,0,0.77,0,1,0.13,1,0.69
93.0,0,3,0.908,0.0,295,0,inst_6,-0.68,-1.23,-0.41,-0.39,1,0,0.88,-0.97,0.74,0.0,-0.31,-1.44,-0.03,-1.02724,0,1,1,-0.54,0,1,0.83,1,0.02
98.0,0,2,2.53,0.0,124,0,inst_4,0.19,-1.19,-1.99,-1.5,1,0,-0.96,-0.67,-1.32,,0.11,-0.08,-0.38,-1.9614,0,1,1,1.43,0,1,-0.04,0,-2.14
82.0,0,5,3.307,1.0,249,0,inst_6,-0.23,-0.34,0.15,-0.12,0,0,-0.49,-0.08,-0.47,,0.3,0.57,-0.46,-2.52122,0,1,1,-0.11,1,0,-0.79,1,-0.06
82.0,0,1,3.719,0.0,320,0,inst_2,0.62,0.73,0.88,-0.2,1,0,-0.13,-0.05,2.17,0.0,0.2,-0.8,-0.65,-3.41735,0,1,0,1.69,0,0,-1.99,0,0.0
81.0,0,1,3.685,1.0,109,0,inst_2,-0.9,0.67,0.9,1.0,0,1,-0.23,-0.73,1.26,,0.39,0.65,0.43,0.5845499999999999,0,1,0,0.51,1,1,0.09,0,0.51
116.0,0,1,2.997,0.0,302,0,inst_3,-1.06,0.26,-0.3,0.2,0,0,-2.07,-2.12,-0.43,,1.19,0.39,0.96,1.8771200000000001,0,0,1,0.56,0,0,0.23,1,-1.78
97.0,0,0,2.46,0.0,305,0,inst_3,-0.92,0.51,0.13,0.12,0,1,-1.06,-0.56,1.21,1.0,0.32,1.23,-0.19,-1.4674,1,0,0,1.84,0,1,1.51,0,0.5
86.0,0,0,2.39,1.0,73,0,inst_2,-1.14,-1.65,1.95,-0.18,0,1,-1.77,-0.64,-2.05,0.0,-0.46,0.02,1.48,2.5372000000000003,0,1,1,1.21,1,0,0.08,0,-1.73
106.0,0,2,3.431,,62,0,inst_4,-0.32,1.66,-0.24,0.14,1,1,0.8,0.93,-0.64,,-0.28,0.43,-0.68,-3.3330800000000003,1,0,1,2.7,0,0,1.73,0,-1.46
85.0,0,1,2.761,0.0,196,0,inst_6,-0.08,1.11,-1.17,0.14,0,1,0.33,0.83,0.03,1.0,-1.07,1.03,-0.02,-1.05522,1,1,1,0.35,0,1,-0.75,0,0.09
89.0,0,2,3.258,0.0,429,0,,-1.04,0.76,1.22,-0.51,0,0,0.74,0.64,-0.56,,-0.04,-0.78,1.19,2.87702,0,1,1,0.85,1,1,2.03,0,0.22
100.0,0,1,3.563,1.0,344,0,inst_6,-1.05,-0.62,0.83,0.06,0,0,0.98,-0.01,-0.08,,0.19,-1.35,0.17,-0.3942899999999999,0,0,1,-0.4,1,0,-1.22,0,0.71
82.0,0,1,2.837,1.0,4,0,inst_2,0.85,1.78,0.53,-0.46,1,1,-0.38,-0.26,-1.07,,-0.66,1.85,0.67,0.9007900000000002,1,0,0,-0.41,0,1,-0.56,1,1.63
95.0,0,3,2.165,0.0,279,0,inst_3,0.34,-0.23,-0.91,0.55,0,0,-0.6,0.96,-0.04,1.0,0.44,-0.42,-1.78,-4.8537,0,0,0,0.61,0,1,-0.08,0,0.51
98.0,0,1,3.507,0.0,244,0,inst_4,-0.49,0.56,-0.23,1.42,0,0,-2.13,1.11,0.21,,0.2,0.65,1.28,3.4889600000000005,0,1,1,1.4,0,0,2.09,0,-0.66
86.0,0,0,3.67,0.0,166,0,inst_4,1.25,0.87,0.49,0.27,0,1,0.78,0.48,-2.31,,-1.77,0.05,0.3,0.10099999999999998,1,1,1,2.16,0,0,-0.18,0,-1.87
91.0,0,0,2.937,,428,0,inst_1,-0.82,-2.47,0.77,0.05,0,0,-1.85,-0.85,-0.31,,0.15,1.3,-0.26,-1.76362,1,0,1,0.56,0,0,0.59,0,1.02
102.0,0,3,3.188,0.0,100,0,inst_8,-0.54,1.58,1.15,0.96,1,0,-0.85,-0.92,-0.41,,-0.17,-0.22,-0.35,-2.1158,1,0,1,0.51,1,1,-0.24,1,0.0
91.0,0,1,3.663,1.0,315,0,inst_2,2.08,0.26,0.43,0.34,1,1,-0.08,0.04,0.62,1.0,-2.5,-0.81,1.06,2.88278,1,0,0,-0.42,0,1,0.52,1,-1.15
74.0,0,3,3.187,,149,0,inst_3,1.56,0.8,-0.4,0.23,0,0,-0.48,0.44,-0.72,1.0,-0.86,-0.77,-2.67,-9.50929,1,1,0,0.1,1,0,-0.1,1,-0.82
97.0,0,0,3.783,1.0,20,0,inst_8,1.08,0.6,1.33,0.14,1,0,-0.94,0.72,-0.62,,0.54,0.72,0.41,0.5510299999999999,1,0,0,0.53,1,0,-0.22,0,-0.38
104.0,0,2,3.034,0.0,433,0,inst_7,-0.17,0.96,-1.96,0.87,0,1,-1.15,0.28,0.17,,-0.7,0.14,-0.23,-1.69782,1,1,0,0.86,0,1,1.12,0,0.16
113.0,0,2,3.238,0.0,388,0,inst_4,-0.29,-0.33,-0.57,-0.32,0,0,-1.72,-0.4,0.32,1.0,-0.05,-0.15,-1.28,-5.14464,0,1,1,1.3,0,1,-0.34,1,0.25
98.0,0,0,3.354,0.0,206,0,inst_5,0.79,0.08,-2.55,0.38,1,1,1.6,-1.87,0.35,1.0,1.13,-0.15,1.32,3.4272800000000005,0,0,0,-0.2,0,1,0.75,1,-1.04
100.0,0,0,3.141,0.0,154,0,inst_7,-0.21,-0.07,1.16,-1.81,0,0,-0.87,-0.49,-0.41,,-0.45,-0.81,-0.55,-2.72755,0,0,0,0.99,1,1,0.71,1,-4.2
81.0,0,1,2.994,0.0,128,0,inst_3,1.02,0.57,0.75,-0.22,0,0,-0.85,-0.35,0.11,,-1.44,0.98,2.53,6.57482,1,1,0,-0.14,0,0,0.14,0,0.76
89.0,0,8,2.079,0.0,129,0,inst_7,-0.88,1.93,1.98,0.55,1,1,-0.28,0.15,2.41,1.0,0.43,-0.04,1.02,1.1205800000000004,1,0,0,0.25,1,0,-2.12,1,0.31
96.0,0,0,3.338,,176,0,,-0.33,-0.49,-0.68,1.59,0,1,1.33,-0.78,1.6,,0.54,1.52,-1.55,-6.1739000000000015,1,1,1,0.9,1,1,0.56,1,0.19
94.0,0,1,3.367,0.0,63,0,inst_2,-0.82,0.89,0.19,0.63,1,0,0.6,0.38,-0.19,,-0.19,0.42,0.12,-0.59596,1,1,1,-1.07,0,1,-1.29,0,-0.03
79.0,0,0,3.253,0.0,403,0,inst_5,-1.65,-0.09,1.54,-1.09,1,0,-1.07,-0.7,-0.47,1.0,0.46,-0.4,1.25,3.06625,1,0,0,1.89,1,0,-1.65,1,-2.03
79.0,0,0,3.253,0.0,403,0,inst_5,-1.65,-0.09,1.54,-1.09,1,0,-1.07,-0.7,-0.47,1.0,0.46,-0.4,1.25,3.06625,1,0,0,1.89,1,0,-1.65,1,-2.03
85.0,0,1,3.434,0.0,92,0,inst_2,1.54,0.67,-1.96,-0.49,1,1,1.34,0.65,0.24,,-1.21,-0.21,-0.88,-4.02192,0,0,0,-0.62,1,0,-0.18,1,1.76
94.0,0,2,,0.0,151,0,inst_3,1.17,-0.69,-0.05,0.37,1,0,-0.12,0.74,0.85,,1.05,-1.57,-0.4,-2.3016,0,0,1,1.72,1,0,0.9,1,-0.34
101.0,0,2,3.032,0.0,119,0,inst_5,1.33,-0.78,0.23,-0.35,0,0,1.46,-0.79,0.77,1.0,1.87,-2.71,-1.67,-6.06344,0,0,0,-0.64,0,0,-0.27,0,-0.62
102.0,0,2,0.906,0.0,22,0,,0.57,0.17,-1.41,0.17,1,1,0.45,1.21,0.35,,1.03,1.65,-0.73,-1.6613799999999999,1,0,0,0.97,0,1,-0.18,1,-2.07
85.0,0,0,3.3280000000000003,0.0,27,0,inst_5,-0.51,-0.94,1.03,-0.95,0,0,-0.91,-0.34,-1.07,1.0,-0.78,0.91,-0.89,-3.96192,1,0,0,-0.4,1,1,0.07,1,0.47
84.0,0,4,3.442,0.0,30,0,inst_5,0.94,0.69,-0.73,-0.92,1,1,1.19,-1.58,1.64,,0.17,-2.05,0.22,-0.24276,1,0,0,0.81,0,0,0.83,0,-1.34
107.0,0,2,3.1660000000000004,0.0,84,0,inst_6,0.5,0.01,0.3,1.09,0,0,-0.87,2.23,-0.21,,1.39,0.05,-0.44,-2.39304,0,0,0,1.58,1,0,-0.16,0,-0.35
95.0,0,1,3.442,0.0,131,0,inst_4,0.56,1.17,0.18,0.25,0,1,-0.32,0.53,0.5,,0.19,0.46,-1.69,-6.81698,1,1,1,0.7,0,0,0.96,0,0.19
