job_aptitude_exam,same_industry,unexcused_absences,hs_gpa,job_offered,good_behavior,high_school,enrolled_late,instructor,sensitive_01,sensitive_02,sensitive_03,sensitive_04,sensitive_05,sensitive_06,sensitive_07,sensitive_08,sensitive_09,sensitive_10,sensitive_11,sensitive_12,sensitive_13,sensitive_14,sensitive_15,sensitive_17,sensitive_18,sensitive_19,sensitive_20,sensitive_22,sensitive_23,sensitive_24,sensitive_25
101.0,0,1,2.98,1,,35,0,inst_8,0.53,-0.26,0.12,-0.65,1,0,2.32,2.11,1.3,1.0,1.19,-0.42,0.08,-0.7616,1,1,1,1.15,0,1,0.8,1,1.26
99.0,0,2,3.3569999999999998,1,0.0,36,0,inst_7,0.73,0.04,0.83,-2.51,1,1,-0.21,-0.18,-0.51,,0.72,0.33,0.38,0.27566,1,1,1,-0.49,0,1,0.41,0,0.68
106.0,0,0,2.327,1,0.0,37,0,inst_6,-0.86,-0.83,0.88,0.38,0,0,1.05,1.28,-0.85,,-0.28,-0.96,1.26,1.93202,1,0,0,-1.4,1,1,-0.33,1,-1.18
76.0,0,1,3.508,0,1.0,38,0,inst_4,0.79,1.8,-0.84,-0.0,1,1,-0.81,-0.73,-1.73,1.0,0.04,-0.52,-2.42,-9.489360000000001,1,0,1,0.87,1,0,-0.24,1,0.54
106.0,0,0,2.81,1,0.0,39,0,inst_3,0.63,-2.03,-0.25,-0.44,0,1,-0.16,-1.24,-0.14,,1.15,-0.82,0.1,-0.7190000000000001,0,1,0,0.28,1,1,0.99,1,0.24
110.0,0,0,3.362,1,0.0,40,0,inst_6,0.89,-0.59,-0.25,-0.66,1,1,-0.66,0.4,1.44,,-0.6,1.08,-0.3,-2.0086,1,1,0,-0.53,0,0,-0.3,1,0.11
113.0,0,1,3.576,1,0.0,41,0,inst_1,0.17,1.99,1.18,-0.23,1,0,0.65,0.05,-1.39,,-2.13,-1.03,-0.89,-4.18264,1,1,1,-1.15,0,1,0.65,1,-1.03
107.0,0,2,3.418,1,0.0,42,0,inst_3,1.25,-1.31,-0.02,1.68,0,1,-0.47,2.21,0.94,,0.81,1.06,-0.61,-3.08498,0,1,0,-0.88,1,0,0.17,0,-0.14
110.0,0,0,3.533,1,0.0,43,0,inst_8,-0.57,-1.76,1.64,0.23,1,1,0.68,0.4,-1.02,1.0,0.14,0.06,-0.63,-3.22579,1,0,0,1.01,1,0,0.88,0,0.36
97.0,0,3,3.302,1,0.0,44,0,inst_6,3.69,1.74,-0.11,-1.15,0,0,0.16,-1.16,-0.6,,-1.6,-0.29,0.05,-0.8349,0,0,1,-0.36,1,1,0.03,0,-0.36
99.0,0,0,3.3569999999999998,1,1.0,45,0,inst_4,-0.91,-3.05,0.02,0.91,0,1,0.68,-0.69,-1.39,0.0,1.88,1.06,-0.94,-4.1555800000000005,1,1,1,-0.31,1,0,-0.15,1,1.04
108.0,0,2,3.033,1,0.0,46,0,,-0.5,0.91,0.37,0.1,0,1,0.09,1.03,-1.63,0.0,0.15,0.87,1.74,4.277419999999999,0,1,0,0.23,1,1,-0.68,0,0.82
97.0,0,3,2.875,0,0.0,47,0,inst_6,0.86,0.07,0.87,1.16,1,1,1.07,1.11,-0.64,,-2.19,1.1,-0.66,-2.8975,1,1,0,-1.27,0,0,-0.26,1,-0.38
95.0,0,0,3.273,0,0.0,48,0,inst_2,-0.82,-0.03,-0.1,-0.4,0,0,0.93,-0.7,0.31,0.0,0.61,0.68,2.7,7.837100000000001,0,1,1,-1.5,1,1,1.13,0,0.83
90.0,0,1,3.214,1,0.0,49,0,inst_3,-0.05,0.47,-0.38,-1.26,0,1,-0.25,-0.97,-0.58,1.0,-1.03,-0.38,0.02,-0.9357200000000001,1,0,1,0.69,1,1,-0.81,0,2.19
107.0,0,0,3.0460000000000003,1,0.0,16,0,inst_13,-0.56,0.44,-0.9,0.33,0,0,0.76,1.58,-1.46,0.0,-1.44,0.51,1.18,2.5942799999999995,1,1,1,-0.61,1,1,0.57,0,-0.74
110.0,0,0,3.438,1,0.0,50,0,inst_8,-1.11,2.75,-1.42,0.52,1,1,0.49,0.51,-0.39,,0.2,-0.17,-1.37,-5.7100599999999995,0,1,0,-1.64,0,1,0.5,0,-0.81
113.0,0,1,2.7769999999999997,1,1.0,51,0,inst_7,1.39,0.49,0.82,0.01,0,0,0.55,-0.28,-0.5,0.0,-1.44,-0.99,-0.58,-2.6106599999999998,0,1,0,0.98,1,0,0.43,0,0.19
109.0,0,1,2.678,1,0.0,52,0,inst_6,1.35,-0.03,1.99,-0.77,1,1,0.78,-0.08,0.36,,1.47,-1.36,-1.41,-4.775980000000001,1,0,0,-0.52,0,1,0.33,1,-1.66
123.0,0,1,3.094,1,0.0,53,0,inst_5,-0.65,1.35,0.53,0.76,0,0,-0.36,0.9,1.44,,1.12,-0.5,-0.92,-3.84648,0,1,0,0.8,0,0,0.92,1,0.77
97.0,0,5,0.89,1,0.0,54,0,inst_4,1.73,-0.03,-0.51,0.25,1,1,-0.66,0.31,-1.16,,-0.83,-0.77,0.44,-0.6084,0,0,1,1.29,1,0,-1.27,0,0.03
102.0,0,2,2.6189999999999998,1,0.0,55,0,inst_6,-0.7,0.04,-0.81,0.07,1,1,-0.68,0.1,-0.25,,0.09,-0.18,-1.23,-4.221369999999999,0,0,1,-0.76,1,0,-0.31,0,-0.48
89.0,0,0,3.2560000000000002,1,0.0,56,0,inst_4,0.1,0.59,1.54,1.25,1,0,0.54,-0.11,-1.79,0.0,0.57,-0.34,0.49,0.59544,1,1,1,1.11,0,1,0.02,1,-1.93
111.0,0,1,3.367,1,1.0,57,0,inst_3,0.02,0.79,-0.79,-0.85,0,1,1.43,1.31,-0.49,,-0.47,1.09,-0.99,-4.33333,0,0,1,0.51,1,1,0.25,1,-0.4
93.0,0,1,3.3110000000000004,1,,58,0,inst_6,1.22,0.45,0.89,1.45,1,1,-0.12,-1.02,0.66,0.0,-0.53,-1.1,-1.01,-4.3441100000000015,0,0,0,0.15,1,1,1.88,1,-2.98
114.0,0,2,3.423,1,0.0,59,0,inst_5,-1.07,0.59,1.96,1.06,1,0,-1.14,0.16,-0.16,1.0,-2.14,-0.13,-2.05,-8.017149999999999,1,0,0,-0.0,1,0,0.13,0,1.69
100.0,0,2,2.443,1,0.0,24,0,inst_4,-0.37,1.72,1.12,-1.79,1,0,-0.67,-1.95,-0.24,,0.19,-0.27,-0.33,-1.8061900000000002,1,0,1,1.69,0,0,-1.07,0,-0.47
113.0,0,0,3.4960000000000004,1,0.0,42,0,,-0.29,1.31,0.25,-1.41,1,0,-1.24,-0.27,0.77,,0.4,-0.77,0.64,1.23744,1,0,1,1.56,1,0,-1.49,1,0.7
99.0,0,3,3.241,1,0.0,47,0,inst_6,-1.24,-0.92,0.58,0.53,0,0,1.56,-0.58,1.53,,1.74,0.06,0.11,-0.64349,0,1,1,1.58,0,0,0.11,1,-1.69
113.0,0,1,3.4339999999999997,1,0.0,60,0,inst_3,1.0,-0.82,-0.24,-1.23,1,0,1.06,-2.0,1.14,,0.05,-0.34,-1.02,-4.502680000000001,1,1,0,0.6,0,1,-0.14,1,-0.34
96.0,0,2,2.5140000000000002,1,0.0,61,0,,-1.28,0.25,0.59,2.48,0,1,-0.81,1.47,0.53,,-0.86,1.76,-0.86,-3.16204,1,0,1,-0.21,0,0,-0.11,1,-0.02
86.0,0,0,3.7089999999999996,1,,62,0,inst_4,0.29,1.58,-1.03,-0.18,0,0,0.06,-0.06,-2.36,,0.61,-0.25,1.07,2.96863,1,0,0,0.07,0,0,0.86,0,0.66
94.0,0,1,3.367,1,0.0,63,0,inst_2,-0.82,0.89,0.19,0.63,1,0,0.6,0.38,-0.19,,-0.19,0.42,0.12,-0.59596,1,1,1,-1.07,0,1,-1.29,0,-0.03
101.0,0,2,3.261,1,1.0,64,0,inst_3,0.33,-0.17,0.66,-0.97,1,1,0.28,-1.69,0.21,,0.69,-1.57,1.51,3.9241100000000007,1,0,0,-0.82,0,1,-1.9,1,-0.4
92.0,0,1,3.028,1,0.0,65,0,inst_5,-0.18,-0.58,-1.45,0.86,1,1,-1.75,-1.32,-0.86,0.0,1.87,-0.52,-0.01,-1.0302799999999999,0,1,1,-0.44,0,1,-0.4,0,2.19
123.0,0,0,2.9419999999999997,1,0.0,29,0,inst_6,0.89,-0.5,-1.09,1.49,0,1,-1.43,0.03,-0.03,1.0,-0.8,-0.2,-0.02,-1.05884,1,1,0,0.95,0,1,-1.21,0,-1.78
88.0,0,1,3.304,1,0.0,66,0,inst_4,0.42,0.23,-0.51,0.72,0,0,-1.18,0.34,0.6,,0.31,-0.43,0.66,1.18064,1,0,1,-0.13,1,1,-0.87,1,0.65
99.0,0,1,2.562,1,0.0,67,0,inst_5,-1.46,-0.16,-0.19,-0.67,0,0,1.75,1.42,-0.2,,0.42,-0.32,1.42,2.63804,1,1,0,0.55,0,0,0.28,0,-0.91
93.0,0,2,3.031,0,0.0,68,0,inst_8,-0.49,2.19,-0.12,0.36,0,1,-1.74,-0.77,-0.33,,-1.29,1.23,-0.8,-3.4248000000000003,1,0,0,1.56,1,1,1.23,0,-0.81
96.0,0,4,0.767,1,0.0,69,0,inst_1,-0.48,-0.65,0.18,0.42,0,1,-1.66,1.45,-0.1,0.0,1.68,-0.29,0.82,-0.3710600000000001,0,0,0,0.71,1,1,0.3,1,0.65
118.0,0,1,3.7310000000000003,1,0.0,70,0,inst_4,-0.26,-2.32,-0.11,-0.11,1,1,1.71,0.46,-0.4,,-0.33,-0.63,-0.97,-4.61907,1,1,1,0.59,0,1,-1.4,1,-0.82
87.0,0,2,2.838,1,0.0,71,0,inst_7,0.75,0.03,-0.62,2.09,0,0,-0.2,0.3,0.89,,0.38,1.42,-0.21,-1.59598,1,1,1,-0.37,1,0,1.24,1,0.51
96.0,0,1,3.608,1,0.0,72,0,inst_2,-0.39,-0.05,-1.34,0.93,0,1,0.38,0.73,-0.75,0.0,1.05,0.82,-1.38,-5.97904,1,1,1,1.23,0,0,0.39,1,1.08
111.0,0,2,3.53,1,0.0,73,0,inst_4,1.91,-1.06,-0.65,-0.56,1,1,0.08,0.42,-2.13,,-1.11,0.86,0.45,0.5885,1,0,0,-1.75,1,1,0.92,1,-0.15
92.0,0,4,1.5030000000000001,1,0.0,74,0,inst_11,-0.61,1.42,-0.82,1.44,1,0,-0.52,0.09,-2.23,0.0,0.13,1.19,0.76,0.14227999999999996,1,0,1,-0.24,0,0,-0.76,1,0.05
79.0,0,3,1.8090000000000002,0,0.0,75,0,inst_4,1.54,0.94,-0.31,0.47,1,0,-1.24,0.14,0.29,,-0.12,-0.2,1.77,2.20193,0,0,1,0.36,1,1,0.72,1,-1.17
80.0,0,1,3.806,0,0.0,76,0,inst_11,0.92,-0.77,0.16,0.95,0,1,-0.31,1.31,-0.67,1.0,-0.08,0.1,0.63,1.39778,1,1,1,0.75,0,0,-0.64,0,-1.04
113.0,0,3,3.307,1,0.0,77,0,inst_4,0.11,-0.37,-1.48,0.51,0,1,-1.17,-0.28,0.83,,0.5,0.41,-2.71,-9.96197,1,1,0,0.4,0,1,1.44,0,-0.28
100.0,0,0,3.234,1,0.0,78,0,inst_5,0.11,0.85,0.1,-1.59,0,0,-0.66,-0.79,1.65,1.0,-0.02,-1.0,-1.02,-4.29868,0,0,0,0.33,1,0,0.58,1,0.08
105.0,0,2,3.8569999999999998,1,0.0,79,0,inst_4,-0.05,-1.46,-0.23,1.95,1,0,0.72,1.26,-2.47,1.0,-1.2,0.2,1.35,4.206950000000001,1,0,0,-0.49,1,0,-1.1,0,-1.03
100.0,0,1,3.2260000000000004,1,0.0,80,0,inst_1,1.49,1.24,-0.76,0.35,1,1,-0.74,0.35,0.46,,-0.96,-0.88,0.77,1.48402,0,1,0,0.02,1,1,-0.62,0,1.82
98.0,0,1,2.984,1,0.0,81,0,,-1.08,-1.33,-0.32,-1.36,0,0,-0.92,1.14,0.46,,-1.09,0.87,0.83,1.4767199999999998,1,0,0,-1.27,0,1,1.07,0,-0.05
88.0,0,1,3.0869999999999997,1,0.0,82,0,inst_8,-1.89,0.76,-1.76,-0.32,0,0,-0.22,-0.01,0.75,0.0,1.21,-1.18,0.51,0.5743699999999999,0,0,1,0.1,1,0,0.07,1,-0.41
110.0,0,1,3.833,1,0.0,83,0,inst_9,-1.43,-1.8,0.72,-1.58,0,1,0.68,1.11,-0.71,,1.34,0.1,0.39,0.4948700000000002,0,1,1,0.3,1,1,-0.74,1,1.06
99.0,0,4,2.4619999999999997,1,,84,0,inst_7,-0.5,0.12,-0.9,-0.92,1,1,-2.09,0.19,0.84,0.0,-0.6,-1.29,0.59,0.45258000000000004,1,0,1,-0.98,0,0,0.29,0,-1.49
98.0,0,2,3.071,1,,45,0,inst_5,0.68,1.5,0.05,0.07,1,0,-0.13,1.82,0.8,1.0,0.1,0.87,-0.42,-2.28982,0,1,1,-0.83,0,1,1.2,1,-0.68
99.0,0,2,3.2319999999999998,1,0.0,85,0,,-0.58,1.97,-0.11,-1.23,0,0,0.59,1.24,0.26,,-0.11,2.26,0.05,-0.8384,0,0,1,1.33,0,0,0.18,0,-1.02
105.0,0,2,3.515,1,0.0,86,0,inst_5,1.42,-0.01,1.12,-0.93,0,1,-0.72,-0.16,-0.88,,-0.01,-1.46,-0.43,-2.51145,0,0,0,-0.57,0,0,-0.02,1,1.48
94.0,0,0,2.7739999999999996,1,1.0,87,0,inst_3,-1.35,-1.26,0.24,0.95,0,0,-0.57,0.11,-1.92,,0.53,-0.75,1.04,1.8849599999999997,1,1,0,0.1,1,0,-0.58,1,-0.02
105.0,0,1,2.6189999999999998,1,1.0,88,0,inst_7,-0.38,0.61,0.51,-0.12,1,1,1.82,0.32,-1.62,,0.77,0.57,-1.3,-4.4047,0,0,1,-0.05,1,1,0.88,1,1.11
117.0,0,2,3.4160000000000004,1,0.0,89,0,inst_7,0.81,-2.27,-0.11,-1.58,0,0,-1.33,-0.66,1.52,0.0,0.39,-1.48,1.0,2.416,0,1,1,0.22,0,0,0.43,1,0.37
108.0,0,4,3.156,1,0.0,90,0,inst_11,-1.12,0.26,-0.74,0.15,0,0,-0.35,-1.04,-0.72,1.0,0.48,-0.39,-0.51,-2.6095599999999997,1,1,0,-1.25,1,1,-0.22,0,0.02
84.0,0,0,2.6889999999999996,1,0.0,91,0,inst_4,-0.32,-0.57,-1.12,0.71,1,1,-0.87,-0.82,0.04,1.0,0.67,0.29,0.53,0.4251700000000001,0,1,1,-0.91,1,1,-1.06,1,-0.62
104.0,0,0,3.825,1,0.0,92,0,inst_8,-0.37,1.24,0.21,-0.31,0,1,0.81,0.02,0.84,,-0.45,-0.81,-1.34,-6.1255000000000015,0,0,1,1.86,0,0,-0.35,1,-2.79
108.0,0,0,3.141,1,0.0,38,0,inst_4,0.68,0.34,2.47,1.82,0,0,-0.97,-1.44,1.24,,0.33,-0.69,0.22,-0.30898000000000003,1,1,1,-1.47,0,0,-1.85,1,0.71
94.0,0,0,3.8160000000000003,1,0.0,23,0,inst_5,-0.56,-0.63,0.47,0.87,0,1,0.41,-0.13,-1.17,,1.11,0.82,0.41,0.5645600000000001,1,0,0,-0.09,1,0,0.34,0,1.11
104.0,0,1,3.571,1,0.0,93,0,inst_5,-0.39,1.14,-0.96,-0.42,0,0,0.12,0.36,0.63,,-0.28,1.39,-0.49,-2.74979,1,1,1,-1.05,1,1,-1.39,0,0.78
103.0,0,1,2.937,1,0.0,94,0,inst_6,-0.18,-0.67,0.22,-0.82,0,1,0.36,-0.27,1.22,0.0,0.52,-0.77,-0.21,-1.6167699999999998,0,1,0,-0.15,0,0,-0.97,1,0.31
94.0,0,1,3.2710000000000004,1,1.0,95,0,inst_2,0.08,1.07,0.46,0.48,1,1,0.54,0.95,0.47,0.0,0.23,-0.24,-1.93,-7.313029999999999,1,0,0,-1.23,0,0,-1.04,1,0.55
100.0,0,1,3.383,1,0.0,87,0,inst_8,-0.95,1.16,0.22,0.57,0,0,-0.69,1.27,0.55,1.0,-0.23,-1.16,0.95,2.21385,1,0,1,-1.89,1,1,-0.04,1,0.53
106.0,0,2,3.339,1,0.0,96,0,inst_2,0.52,-0.41,-1.04,0.14,1,0,-0.24,0.28,-0.84,1.0,0.36,-0.76,0.03,-0.8998299999999999,1,1,0,-0.54,1,1,0.6,1,0.86
91.0,0,1,2.673,1,,97,0,,-0.45,0.69,-0.19,1.31,0,0,2.39,-0.98,-1.48,,0.63,-0.18,-1.02,-3.72646,1,1,1,0.02,0,1,-0.01,0,1.01
108.0,0,1,2.778,1,0.0,98,0,inst_2,-0.64,2.24,-1.46,0.13,0,1,1.81,0.86,0.99,1.0,-1.9,0.88,-2.2,-7.1116,0,0,1,0.26,0,1,1.49,0,-0.65
85.0,1,2,3.5269999999999997,1,1.0,99,0,inst_6,-0.97,-0.3,-0.33,1.29,1,0,-1.89,1.58,-2.43,,1.99,0.73,1.06,2.7386200000000005,1,0,0,-0.12,1,1,0.09,0,-0.73
99.0,0,0,3.0439999999999996,1,1.0,100,0,inst_6,1.48,-0.03,0.01,1.33,1,0,1.76,-0.86,0.09,,-0.15,-0.44,-0.71,-3.1612400000000003,0,1,0,1.07,0,0,-0.17,1,0.18
108.0,0,1,3.411,1,0.0,101,0,inst_4,-0.12,-0.26,0.99,-1.56,0,1,0.14,0.06,1.42,1.0,-1.84,-1.63,0.66,1.2512600000000005,1,1,1,-2.8,1,1,-2.14,1,-0.81
96.0,0,5,0.8740000000000001,1,0.0,102,0,inst_6,-0.06,0.91,-1.31,-1.11,0,0,2.76,-1.89,-0.23,,0.23,-0.47,0.47,-0.5892200000000001,0,1,0,-0.22,1,1,0.57,1,0.44
96.0,0,0,3.51,1,0.0,6,0,,-0.64,-2.8,0.28,-0.17,1,1,2.02,-0.09,-0.54,,0.78,0.02,-0.31,-2.0881,1,1,1,0.38,0,0,-1.31,0,0.41
112.0,0,2,3.346,1,0.0,103,0,inst_5,-0.17,0.72,0.7,0.3,0,0,0.17,0.79,2.8,,0.24,0.32,-1.32,-5.4167200000000015,0,1,1,0.16,0,0,-1.94,1,-0.13
105.0,0,0,3.362,1,0.0,104,0,inst_4,-1.0,1.11,-1.13,0.82,1,1,1.03,0.14,1.18,,-1.92,0.66,0.95,2.1939,0,1,1,1.36,1,1,-3.19,0,1.44
107.0,0,1,3.3989999999999996,1,0.0,105,0,inst_4,-0.76,-0.32,1.14,-2.02,0,0,0.96,1.58,-1.34,1.0,-0.42,0.89,1.05,2.56895,0,0,0,1.62,1,1,1.02,0,0.01
90.0,0,0,3.128,1,0.0,91,0,inst_5,0.19,-0.7,0.93,-0.36,0,1,-0.91,1.53,-0.32,,-0.06,-0.88,-1.63,-6.0986400000000005,1,1,1,0.82,1,0,-1.03,1,-1.66
88.0,0,0,3.055,1,0.0,106,0,inst_6,-0.37,-0.55,1.02,-1.9,1,1,0.18,0.38,-0.27,,0.56,-1.63,0.28,-0.14459999999999984,1,0,1,0.15,0,1,1.94,1,0.25
94.0,0,1,3.7560000000000002,1,0.0,107,0,inst_6,-0.59,-0.38,0.54,0.89,0,0,-0.48,1.35,-1.55,0.0,1.93,0.17,2.18,7.1880799999999985,1,0,0,-0.65,1,0,-0.45,0,-0.7
